category,title,description,location,price,start_time,end_time,duration,day_of_week
Contest,Grease Pole Qualifications,,Floral Hall, Free ,8/12/2026 19:00,8/12/2026 20:00,1,Wed
Racing,Figure 8 Racing,,Grandstand, $15.00 ,8/12/2026 19:00,8/12/2026 20:00,1,Wed
Music,Claudia Hoyser - musician,,Entertainment Alley, $6 Beer ,8/12/2026 21:00,8/12/2026 23:00,2,Wed
Show,4-H Western Horse Show,,Horse Stables, Free ,8/13/2026 10:00,8/13/2026 11:30,1.5,Thu
Food,Chicken BBQ Grange Booth,,Grange Booth, TBD ,8/13/2026 12:00,8/13/2026 14:00,2,Thu
Show,4-H and Open Sheep Show,,4-H Building, Free ,8/13/2026 12:00,8/13/2026 13:30,1.5,Thu
Judging,Open Flower Show Judging,,Floral Hall, Free ,8/13/2026 12:00,8/13/2026 13:00,1,Thu
Show,4-H and Open Swine Show,,Cattle Barn, Free ,8/13/2026 15:00,8/13/2026 16:30,1.5,Thu
Rides,RIDES OPEN,,Midway, Visit Ticket Booth ,8/13/2026 17:00,8/13/2026 18:00,1,Thu
Activities,CCE Day Activities,,TBD, Free ,8/13/2026 16:00,8/13/2026 20:00,4,Thu
Event,Our Tasting Event,,Entertainment Alley, $15.00 ,8/13/2026 17:00,8/13/2026 19:30,2.5,Thu
Music,Dave Turner,Back Porch Band Series,Floral Hall, Free ,8/13/2026 17:00,8/13/2026 19:00,2,Thu
Contest,Celebrity Goat Milking Contest,,Floral Hall, Free ,8/13/2026 18:00,8/13/2026 19:00,1,Thu
Show,Wayne County Fair Rodeo Branding,,Grandstand, Free ,8/13/2026 18:00,8/13/2026 19:00,1,Thu
Game,Spin to Win Wheel,,Commercial Building #1, Free ,8/13/2026 19:00,8/13/2026 23:00,4,Thu
Contest,Beat the Beast Bull Riders Tour,,Grandstand, $15.00 ,8/13/2026 19:00,8/13/2026 21:00,2,Thu
Music,Zac Brown Tribute Band ZBTB,,Entertainment Alley, Free ,8/13/2026 20:30,8/13/2026 23:30,3,Thu
Show,Open Dairy Show,,Cattle Barn, Free ,8/14/2026 9:00,8/14/2026 10:00,1,Fri
Show,4-H Gymkhana Horse Show,,4-H Building, Free ,8/14/2026 10:00,8/14/2026 11:30,1.5,Fri
General,Special of the Day,,Grange Booth, Free ,8/14/2026 12:00,8/14/2026 16:00,4,Fri
Judging,Open Dahlia Show Judging,,Floral Hall, Free ,8/14/2026 12:00,8/14/2026 13:00,1,Fri
Contest,4-H Milk & Cookie Contest,,Cattle Barn, Free ,8/14/2026 13:00,8/14/2026 14:30,1.5,Fri
Rides,RIDES OPEN,,Midway, Visit Ticket Booth ,8/14/2026 17:00,8/14/2026 23:00,6,Fri
Activities,CCE Day Activities,,TBD, Free ,8/14/2026 16:00,8/14/2026 17:00,1,Fri
Show,Wayne County Fair Open Barrel Racing,,Grandstand, Free ,8/14/2026 17:00,8/14/2026 18:30,1.5,Fri
Demo,Wayne County Sheriff K-9 Demo,,Floral Hall, Free ,8/14/2026 17:00,8/14/2026 18:30,1.5,Fri
Music,Andrew Young ,Back Porch Band Series,Floral Hall, Free ,8/14/2026 17:00,8/14/2026 19:00,2,Fri
Auction,4-H Livestock Auction,,4-H Building, Free ,8/14/2026 17:30,8/14/2026 19:00,1.5,Fri
Show,Open Gaming Horse Show,,Horse Stables, Free ,8/14/2026 17:30,8/14/2026 18:30,1,Fri
